81,4,history,6,3,2018-05-18,user 
81,4,history,11,1,2018-05-18,user 
81,4,history,14,2,2018-05-18,user 
81,4,history,18,1,2018-05-18,user 
81,4,history,19,3,2018-05-18,user 
81,4,history,21,1,2018-05-18,user 
82,4,history,12,2,2018-05-08,user 
82,4,history,18,1,2018-05-08,user 
82,4,history,19,2,2018-05-08,user 
82,4,history,21,2,2018-05-08,user 
82,4,history,22,3,2018-05-08,user 
83,4,history,5,3,2018-04-28,user 
83,4,history,7,1,2018-04-28,user 
83,4,history,11,1,2018-04-28,user 
83,4,history,13,2,2018-04-28,user 
83,4,history,18,3,2018-04-28,user 
83,4,history,19,3,2018-04-28,user 
83,4,history,21,3,2018-04-28,user 
83,4,history,22,2,2018-04-28,user 
84,4,history,1,3,2018-04-18,user 
84,4,history,4,3,2018-04-18,user 
84,4,history,14,2,2018-04-18,user 
84,4,history,15,2,2018-04-18,user 
84,4,history,17,2,2018-04-18,user 
84,4,history,18,3,2018-04-18,user 
84,4,history,21,1,2018-04-18,user 
84,4,history,22,3,2018-04-18,user 
85,4,history,6,1,2018-04-08,user 
85,4,history,7,2,2018-04-08,user 
85,4,history,11,2,2018-04-08,user 
85,4,history,16,3,2018-04-08,user 
85,4,history,19,3,2018-04-08,user 
85,4,history,21,2,2018-04-08,user 
85,4,history,22,2,2018-04-08,user 
86,4,history,2,1,2018-03-29,user 
86,4,history,11,2,2018-03-29,user 
86,4,history,12,3,2018-03-29,user 
86,4,history,14,1,2018-03-29,user 
86,4,history,17,3,2018-03-29,user 
86,4,history,19,1,2018-03-29,user 
86,4,history,21,3,2018-03-29,user 
86,4,history,22,1,2018-03-29,user 
87,4,history,3,2,2018-03-19,user 
87,4,history,4,2,2018-03-19,user 
87,4,history,10,2,2018-03-19,user 
87,4,history,21,3,2018-03-19,user 
88,4,history,7,1,2018-03-09,user 
88,4,history,18,3,2018-03-09,user 
88,4,history,22,1,2018-03-09,user 
89,4,history,8,2,2018-02-27,user 
89,4,history,10,2,2018-02-27,user 
89,4,history,19,1,2018-02-27,user 
89,4,history,21,2,2018-02-27,user 
90,4,history,18,3,2018-02-17,user 
90,4,history,22,2,2018-02-17,user 
91,4,history,9,2,2018-02-07,user 
91,4,history,15,3,2018-02-07,user 
91,4,history,18,3,2018-02-07,user 
91,4,history,19,2,2018-02-07,user 
91,4,history,21,1,2018-02-07,user 
91,4,history,22,1,2018-02-07,user 
92,4,history,2,1,2018-01-28,user 
92,4,history,5,1,2018-01-28,user 
92,4,history,7,3,2018-01-28,user 
92,4,history,16,1,2018-01-28,user 
92,4,history,18,3,2018-01-28,user 
93,4,history,10,2,2018-01-18,user 
93,4,history,18,2,2018-01-18,user 
93,4,history,19,2,2018-01-18,user 
93,4,history,21,1,2018-01-18,user 
93,4,history,22,1,2018-01-18,user 
94,4,history,3,3,2018-01-08,user 
94,4,history,21,2,2018-01-08,user 
94,4,history,22,3,2018-01-08,user 
95,4,history,1,1,2017-12-29,user 
95,4,history,2,1,2017-12-29,user 
95,4,history,11,3,2017-12-29,user 
95,4,history,15,3,2017-12-29,user 
95,4,history,19,3,2017-12-29,user 
95,4,history,20,3,2017-12-29,user 
95,4,history,22,1,2017-12-29,user 
96,4,history,1,3,2017-12-19,user 
96,4,history,5,3,2017-12-19,user 
96,4,history,13,3,2017-12-19,user 
96,4,history,18,3,2017-12-19,user 
96,4,history,21,3,2017-12-19,user 
96,4,history,22,2,2017-12-19,user 
97,4,history,1,3,2017-12-09,user 
97,4,history,2,3,2017-12-09,user 
97,4,history,9,2,2017-12-09,user 
97,4,history,15,1,2017-12-09,user 
97,4,history,18,1,2017-12-09,user 
97,4,history,20,1,2017-12-09,user 
97,4,history,22,1,2017-12-09,user 
98,4,history,18,3,2017-11-29,user 
98,4,history,19,3,2017-11-29,user 
98,4,history,22,1,2017-11-29,user 
99,4,history,7,1,2017-11-19,user 
99,4,history,8,2,2017-11-19,user 
99,4,history,22,2,2017-11-19,user 
100,4,history,2,1,2017-11-09,user 
100,4,history,12,2,2017-11-09,user 
100,4,history,13,1,2017-11-09,user 
100,4,history,14,3,2017-11-09,user 
100,4,history,21,3,2017-11-09,user 
100,4,history,22,3,2017-11-09,user 
101,4,history,5,1,2017-10-30,user 
101,4,history,10,3,2017-10-30,user 
101,4,history,11,1,2017-10-30,user 
101,4,history,17,3,2017-10-30,user 
101,4,history,21,2,2017-10-30,user 
101,4,history,22,3,2017-10-30,user 
102,4,history,3,3,2017-10-20,user 
102,4,history,17,2,2017-10-20,user 
102,4,history,18,3,2017-10-20,user 
102,4,history,21,2,2017-10-20,user 
102,4,history,22,1,2017-10-20,user 
103,4,history,8,2,2017-10-10,user 
103,4,history,9,3,2017-10-10,user 
103,4,history,14,2,2017-10-10,user 
103,4,history,19,1,2017-10-10,user 
103,4,history,21,3,2017-10-10,user 
103,4,history,22,3,2017-10-10,user 
104,4,history,3,3,2017-09-30,user 
104,4,history,6,3,2017-09-30,user 
104,4,history,11,3,2017-09-30,user 
104,4,history,16,3,2017-09-30,user 
104,4,history,18,2,2017-09-30,user 
104,4,history,22,2,2017-09-30,user 
105,4,history,5,3,2017-09-20,user 
105,4,history,7,1,2017-09-20,user 
105,4,history,9,3,2017-09-20,user 
105,4,history,13,3,2017-09-20,user 
105,4,history,18,2,2017-09-20,user 
105,4,history,22,3,2017-09-20,user 
106,4,history,5,1,2017-09-10,user 
106,4,history,12,1,2017-09-10,user 
106,4,history,13,1,2017-09-10,user 
106,4,history,15,1,2017-09-10,user 
106,4,history,17,3,2017-09-10,user 
106,4,history,18,3,2017-09-10,user 
106,4,history,21,1,2017-09-10,user 
106,4,history,22,2,2017-09-10,user 
107,4,history,4,2,2017-08-31,user 
107,4,history,10,3,2017-08-31,user 
107,4,history,11,2,2017-08-31,user 
107,4,history,19,1,2017-08-31,user 
107,4,history,20,1,2017-08-31,user 
108,4,history,4,2,2017-08-21,user 
108,4,history,11,2,2017-08-21,user 
108,4,history,15,1,2017-08-21,user 
108,4,history,17,1,2017-08-21,user 
108,4,history,19,1,2017-08-21,user 
109,4,history,1,2,2017-08-11,user 
